Series_ID,Year,Month,Month_Name,Pred_Active,Prob_Active,Pred_Revenue
CLIENT_017_ROUTE_020_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,1361490.25
CLIENT_018_ROUTE_021_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.0433,0.0
CLIENT_019_ROUTE_022_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.0433,0.0
CLIENT_020_ROUTE_023_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.7524,10780.73
CLIENT_021_ROUTE_024_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9852,20814.88
CLIENT_021_ROUTE_024_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9043,7315.68
CLIENT_022_ROUTE_075_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,0,0.21,0.0
CLIENT_022_ROUTE_075_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3446,0.0
CLIENT_023_ROUTE_025_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,0,0.0433,0.0
CLIENT_023_ROUTE_025_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.047,0.0
CLIENT_024_ROUTE_026_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.8899,11814.7
CLIENT_024_ROUTE_026_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.7728,89830.21
CLIENT_025_ROUTE_027_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9852,8371.72
CLIENT_025_ROUTE_027_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3805,0.0
CLIENT_027_ROUTE_029_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9835,23604.89
CLIENT_027_ROUTE_029_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9808,26409.8
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9852,13032.62
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9531,8205.16
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_003_NETWORK_001,2025,2,Feb,0,0.0372,0.0
CLIENT_029_ROUTE_031_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.0372,0.0
CLIENT_029_ROUTE_032_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_030_ROUTE_033_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_030_ROUTE_034_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_030_ROUTE_036_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_030_ROUTE_037_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_031_ROUTE_035_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9144,8205.16
CLIENT_031_ROUTE_038_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9808,285536.88
CLIENT_031_ROUTE_039_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.1602,0.0
CLIENT_031_ROUTE_040_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9819,472673.62
CLIENT_031_ROUTE_041_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9809,1570437.88
CLIENT_031_ROUTE_042_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9838,14742.82
CLIENT_031_ROUTE_047_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9808,189947.91
CLIENT_031_ROUTE_048_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9765,6753.24
CLIENT_031_ROUTE_049_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.0372,0.0
CLIENT_031_ROUTE_050_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.98,14800.82
CLIENT_031_ROUTE_051_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,9980.65
CLIENT_031_ROUTE_052_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_031_ROUTE_053_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9852,116578.44
CLIENT_031_ROUTE_054_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9852,51196.94
CLIENT_032_ROUTE_043_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9852,22149.07
CLIENT_032_ROUTE_043_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,9048.05
CLIENT_034_ROUTE_045_SUPPLIERCONNECTION_003_NETWORK_007,2025,2,Feb,0,0.0433,0.0
CLIENT_035_ROUTE_045_SUPPLIERCONNECTION_003_NETWORK_007,2025,2,Feb,0,0.0759,0.0
CLIENT_036_ROUTE_046_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9852,8945.52
CLIENT_036_ROUTE_046_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9739,8693.68
CLIENT_037_ROUTE_055_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9838,21184.46
CLIENT_037_ROUTE_055_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9835,58961.31
CLIENT_038_ROUTE_056_SUPPLIERCONNECTION_003_NETWORK_007,2025,2,Feb,1,0.9852,12029.08
CLIENT_039_ROUTE_057_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_040_ROUTE_058_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,0,0.047,0.0
CLIENT_040_ROUTE_058_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,21404.75
CLIENT_041_ROUTE_008_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,0,0.0433,0.0
CLIENT_041_ROUTE_008_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,22381.39
CLIENT_042_ROUTE_059_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9838,11248.2
CLIENT_042_ROUTE_059_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9839,8520.85
CLIENT_043_ROUTE_060_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_044_ROUTE_061_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9402,6984.61
CLIENT_045_ROUTE_062_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,9980.65
CLIENT_047_ROUTE_064_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.8965,13667.04
CLIENT_047_ROUTE_064_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9767,8775.47
CLIENT_048_ROUTE_065_SUPPLIERCONNECTION_003_NETWORK_007,2025,2,Feb,1,0.7208,8158.74
CLIENT_050_ROUTE_067_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,1,0.9838,10721.0
CLIENT_050_ROUTE_067_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9838,13138.46
CLIENT_050_ROUTE_068_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_051_ROUTE_070_SUPPLIERCONNECTION_001_NETWORK_002,2025,2,Feb,0,0.1643,0.0
CLIENT_051_ROUTE_070_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.0759,0.0
CLIENT_052_ROUTE_071_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.3843,0.0
CLIENT_053_ROUTE_072_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,0,0.1064,0.0
CLIENT_054_ROUTE_073_SUPPLIERCONNECTION_001_NETWORK_007,2025,2,Feb,1,0.9852,10507.84
CLIENT_001_ROUTE_002_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,0,0.2964,0.0
CLIENT_001_ROUTE_002_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9708,5816.98
CLIENT_002_ROUTE_003_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.1962,0.0
CLIENT_002_ROUTE_004_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9852,5816.98
CLIENT_003_ROUTE_001_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.0921,0.0
CLIENT_003_ROUTE_001_SUPPLIERCONNECTION_003_NETWORK_007,2025,3,Mar,0,0.0433,0.0
CLIENT_004_ROUTE_005_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.0372,0.0
CLIENT_005_ROUTE_006_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.047,0.0
CLIENT_006_ROUTE_007_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.3835,0.0
CLIENT_007_ROUTE_009_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,0,0.1062,0.0
CLIENT_007_ROUTE_009_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9739,10293.37
CLIENT_008_ROUTE_010_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.0433,0.0
CLIENT_009_ROUTE_011_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.0433,0.0
CLIENT_010_ROUTE_012_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.7068,4514.19
CLIENT_011_ROUTE_013_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9852,8166.26
CLIENT_012_ROUTE_014_SUPPLIERCONNECTION_003_NETWORK_001,2025,3,Mar,0,0.3835,0.0
CLIENT_012_ROUTE_014_SUPPLIERCONNECTION_003_NETWORK_007,2025,3,Mar,1,0.9852,8450.48
CLIENT_013_ROUTE_015_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,0,0.0938,0.0
CLIENT_013_ROUTE_016_SUPPLIERCONNECTION_004_NETWORK_007,2025,3,Mar,1,0.9808,3012805.5
CLIENT_014_ROUTE_017_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9835,8166.26
CLIENT_015_ROUTE_018_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.0921,0.0
CLIENT_016_ROUTE_019_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9848,5816.98
CLIENT_017_ROUTE_020_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9852,1341409.75
CLIENT_018_ROUTE_021_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.0433,0.0
CLIENT_019_ROUTE_022_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.0433,0.0
CLIENT_020_ROUTE_023_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9397,9063.88
CLIENT_021_ROUTE_024_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,1,0.9852,22647.7
CLIENT_021_ROUTE_024_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.969,5816.98
CLIENT_022_ROUTE_075_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,0,0.2095,0.0
CLIENT_022_ROUTE_075_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.3446,0.0
CLIENT_023_ROUTE_025_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,0,0.0433,0.0
CLIENT_023_ROUTE_025_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.0433,0.0
CLIENT_024_ROUTE_026_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,1,0.9496,10316.01
CLIENT_024_ROUTE_026_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.8803,13107.77
CLIENT_025_ROUTE_027_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,1,0.9852,6873.02
CLIENT_025_ROUTE_027_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.2367,0.0
CLIENT_027_ROUTE_029_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,1,0.9835,23017.28
CLIENT_027_ROUTE_029_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9808,24911.1
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_001_NETWORK_002,2025,3,Mar,1,0.9852,6836.92
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,1,0.9733,6706.47
CLIENT_028_ROUTE_030_SUPPLIERCONNECTION_003_NETWORK_001,2025,3,Mar,0,0.3659,0.0
CLIENT_029_ROUTE_031_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.3659,0.0
CLIENT_029_ROUTE_032_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.3835,0.0
CLIENT_030_ROUTE_033_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.3835,0.0
CLIENT_030_ROUTE_034_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.3835,0.0
CLIENT_030_ROUTE_036_SUPPLIERCONNECTION_001_NETWORK_007,2025,3,Mar,0,0.3835,0.0
